Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8615466	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-C5		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SNU-C5		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8615467	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-6		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	TE-6		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615468	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE 617.T		rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	soft tissue		TE 617.T		rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	Yes
SRR8615469	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-5		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	TE-5		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615470	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-4		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	TE-4		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615471	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-878		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	SNU-878		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8615472	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-886		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	SNU-886		hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8615473	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-840		malignant ovarian Brenner tumor	http://www.ebi.ac.uk/efo/EFO_1000357	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	SNU-840		malignant ovarian Brenner tumor	http://www.ebi.ac.uk/efo/EFO_1000357	Yes
SRR8615474	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-869		ampulla of Vater adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0008490	biliary system	http://purl.obolibrary.org/obo/UBERON_0002294	SNU-869		ampulla of Vater adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0008490	Yes
SRR8615475	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-C1	http://www.ebi.ac.uk/efo/EFO_0006761	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SNU-C1	http://www.ebi.ac.uk/efo/EFO_0006761	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615476	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-C2A		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SNU-C2A		cecum adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000020	Yes
SRR8615477	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-899		laryngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006352	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	SNU-899		laryngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006352	Yes
SRR8615478	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-8		ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	SNU-8		ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	Yes
SRR8615479	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	L-1236		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	hematopoietic system and lymphoid system		L-1236		Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8615480	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	L3.3		pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	L3.3		pancreatic adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_0006732	Yes
SRR8615481	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-520	http://www.ebi.ac.uk/efo/EFO_0006632	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	KYSE-520	http://www.ebi.ac.uk/efo/EFO_0006632	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615482	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-70	http://www.ebi.ac.uk/efo/EFO_0006633	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	KYSE-70	http://www.ebi.ac.uk/efo/EFO_0006633	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615483	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JHH-1	http://www.ebi.ac.uk/efo/EFO_0006599	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	liver	http://purl.obolibrary.org/obo/UBERON_0002107	JHH-1	http://www.ebi.ac.uk/efo/EFO_0006599	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
SRR8615484	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JH-EsoAd1		Barrett adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001939	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	JH-EsoAd1		Barrett adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001939	Yes
SRR8615485	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	L-363	http://www.ebi.ac.uk/efo/EFO_0006450	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		L-363	http://www.ebi.ac.uk/efo/EFO_0006450	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615486	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	L-428	http://www.ebi.ac.uk/efo/EFO_0002225	Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	hematopoietic system and lymphoid system		L-428	http://www.ebi.ac.uk/efo/EFO_0002225	Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000183	Yes
SRR8615487	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	IST-MES2		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	IST-MES2		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
SRR8615488	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	IST-MES1		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	IST-MES1		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
SRR8615489	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JeKo-1	http://www.ebi.ac.uk/efo/EFO_0005387	Mantle cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1001469	hematopoietic system and lymphoid system		JeKo-1	http://www.ebi.ac.uk/efo/EFO_0005387	Mantle cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1001469	Yes
SRR8615490	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	J82	http://www.ebi.ac.uk/efo/EFO_0002210	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	urinary tract		J82	http://www.ebi.ac.uk/efo/EFO_0002210	bladder carcinoma	http://purl.obolibrary.org/obo/MONDO_0004986	Yes
SRR8615491	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	IOMM-Lee		meningioma	http://www.orpha.net/ORDO/Orphanet_2495	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	IOMM-Lee		meningioma	http://www.orpha.net/ORDO/Orphanet_2495	Yes
SRR8615492	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	INA-6	http://www.ebi.ac.uk/efo/EFO_0005386	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		INA-6	http://www.ebi.ac.uk/efo/EFO_0005386	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615493	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Ishikawa (Heraklio) 02 ER-		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	Ishikawa (Heraklio) 02 ER-		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615494	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	IPC-298	http://www.ebi.ac.uk/efo/EFO_0006447	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	skin	http://purl.obolibrary.org/obo/UBERON_0000014	IPC-298	http://www.ebi.ac.uk/efo/EFO_0006447	cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	Yes
SRR8615495	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-N87	http://www.ebi.ac.uk/efo/EFO_0002841	gastric tubular adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000030	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	NCI-N87	http://www.ebi.ac.uk/efo/EFO_0002841	gastric tubular adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000030	Yes
SRR8615496	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-PN-DW		primitive neuroectodermal tumor	http://www.ebi.ac.uk/efo/EFO_0005235	bone	http://purl.obolibrary.org/obo/UBERON_0002481	SK-PN-DW		primitive neuroectodermal tumor	http://www.ebi.ac.uk/efo/EFO_0005235	Yes
SRR8615497	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-N-MC	http://www.ebi.ac.uk/efo/EFO_0002860	Askin tumor	http://www.ebi.ac.uk/efo/EFO_1000095	bone	http://purl.obolibrary.org/obo/UBERON_0002481	SK-N-MC	http://www.ebi.ac.uk/efo/EFO_0002860	Askin tumor	http://www.ebi.ac.uk/efo/EFO_1000095	Yes
SRR8615498	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H929	http://www.ebi.ac.uk/efo/EFO_0001221	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		NCI-H929	http://www.ebi.ac.uk/efo/EFO_0001221	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615499	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-N-SH	http://www.ebi.ac.uk/efo/EFO_0003072	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		SK-N-SH	http://www.ebi.ac.uk/efo/EFO_0003072	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615500	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-510	http://www.ebi.ac.uk/efo/EFO_0006631	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	KYSE-510	http://www.ebi.ac.uk/efo/EFO_0006631	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615501	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-N-BE(2)		neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		SK-N-BE(2)		neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615502	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-N-AS	http://www.ebi.ac.uk/efo/EFO_0002859	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		SK-N-AS	http://www.ebi.ac.uk/efo/EFO_0002859	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615503	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MM-2	http://www.ebi.ac.uk/efo/EFO_0005458	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		SK-MM-2	http://www.ebi.ac.uk/efo/EFO_0005458	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615504	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW48	http://www.ebi.ac.uk/efo/EFO_0002367	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	SW48	http://www.ebi.ac.uk/efo/EFO_0002367	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
SRR8615505	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-OV-3	http://www.ebi.ac.uk/efo/EFO_0002340	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	SK-OV-3	http://www.ebi.ac.uk/efo/EFO_0002340	ovarian serous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000043	Yes
SRR8615506	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-RC-20		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	SK-RC-20		clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	Yes
SRR8615507	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caov-3	http://www.ebi.ac.uk/efo/EFO_0002148	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Caov-3	http://www.ebi.ac.uk/efo/EFO_0002148	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615508	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Caov-4	http://www.ebi.ac.uk/efo/EFO_0002148	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	Caov-4	http://www.ebi.ac.uk/efo/EFO_0002148	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615509	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-LY-19	http://www.ebi.ac.uk/efo/EFO_0006709	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		OCI-LY-19	http://www.ebi.ac.uk/efo/EFO_0006709	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615510	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-AML5	http://www.ebi.ac.uk/efo/EFO_0006707	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		OCI-AML5	http://www.ebi.ac.uk/efo/EFO_0006707	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8615511	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KYSE-450	http://www.ebi.ac.uk/efo/EFO_0006630	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	KYSE-450	http://www.ebi.ac.uk/efo/EFO_0006630	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615512	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-AML2	http://www.ebi.ac.uk/efo/EFO_0006706	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		OCI-AML2	http://www.ebi.ac.uk/efo/EFO_0006706	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8615513	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OC 314		ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OC 314		ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	Yes
SRR8615514	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OAW42	http://www.ebi.ac.uk/efo/EFO_0006705	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OAW42	http://www.ebi.ac.uk/efo/EFO_0006705	ovarian cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001962	Yes
SRR8615515	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MKN-45	http://www.ebi.ac.uk/efo/EFO_0002832	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	MKN-45	http://www.ebi.ac.uk/efo/EFO_0002832	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615516	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MKN74	http://www.ebi.ac.uk/efo/EFO_0002834	gastric tubular adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000030	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	MKN74	http://www.ebi.ac.uk/efo/EFO_0002834	gastric tubular adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000030	Yes
SRR8615517	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MJ		cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	hematopoietic system and lymphoid system		MJ		cutaneous T-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0002913	Yes
SRR8615518	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MKN1	http://www.ebi.ac.uk/efo/EFO_0002830	gastric adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_1000029	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	MKN1	http://www.ebi.ac.uk/efo/EFO_0002830	gastric adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_1000029	Yes
SRR8615519	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MIA PaCa-2	http://www.ebi.ac.uk/efo/EFO_0002236	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	MIA PaCa-2	http://www.ebi.ac.uk/efo/EFO_0002236	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615520	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Mino		Mantle cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1001469	hematopoietic system and lymphoid system		Mino		Mantle cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1001469	Yes
SRR8615521	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MHH-ES-1	http://www.ebi.ac.uk/efo/EFO_0006650	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	bone	http://purl.obolibrary.org/obo/UBERON_0002481	MHH-ES-1	http://www.ebi.ac.uk/efo/EFO_0006650	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
SRR8615522	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MHH-NB-11	http://www.ebi.ac.uk/efo/EFO_0006651	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		MHH-NB-11	http://www.ebi.ac.uk/efo/EFO_0006651	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615523	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MHH-CALL-3		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	hematopoietic system and lymphoid system		MHH-CALL-3		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	Yes
SRR8615524	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MHH-CALL-4		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	hematopoietic system and lymphoid system		MHH-CALL-4		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	Yes
SRR8615525	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SNU-1076		laryngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006352	upper digestive tract	http://purl.obolibrary.org/obo/UBERON_0004908	SNU-1076		laryngeal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006352	Yes
SRR8615526	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHP-126	http://purl.obolibrary.org/obo/CLO_0002472	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	autonomic ganglion		CHP-126	http://purl.obolibrary.org/obo/CLO_0002472	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
SRR8615527	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-78	http://purl.obolibrary.org/obo/CLO_0002189	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	bone	http://purl.obolibrary.org/obo/UBERON_0002481	CAL-78	http://purl.obolibrary.org/obo/CLO_0002189	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
SRR8615528	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAL-85-1	http://www.ebi.ac.uk/efo/EFO_0005359	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	breast	http://purl.obolibrary.org/obo/UBERON_0000310	CAL-85-1	http://www.ebi.ac.uk/efo/EFO_0005359	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
SRR8615529	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H292	http://www.ebi.ac.uk/efo/EFO_0006690	pulmonary mucoepidermoid carcinoma	http://www.ebi.ac.uk/efo/EFO_0006740	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H292	http://www.ebi.ac.uk/efo/EFO_0006690	pulmonary mucoepidermoid carcinoma	http://www.ebi.ac.uk/efo/EFO_0006740	Yes
SRR8615530	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H3122		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H3122		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615531	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Calu-6	http://www.ebi.ac.uk/efo/EFO_0002152	undifferentiated carcinoma	http://www.ebi.ac.uk/efo/EFO_0006772	lung	http://purl.obolibrary.org/obo/UBERON_0002048	Calu-6	http://www.ebi.ac.uk/efo/EFO_0002152	undifferentiated carcinoma	http://www.ebi.ac.uk/efo/EFO_0006772	Yes
SRR8615532	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CAMA-1	http://www.ebi.ac.uk/efo/EFO_0001100	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	breast	http://purl.obolibrary.org/obo/UBERON_0000310	CAMA-1	http://www.ebi.ac.uk/efo/EFO_0001100	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
SRR8615533	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Calu-1	http://www.ebi.ac.uk/efo/EFO_0002151	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	Calu-1	http://www.ebi.ac.uk/efo/EFO_0002151	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8615534	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Calu-3	http://www.ebi.ac.uk/efo/EFO_0002819	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	Calu-3	http://www.ebi.ac.uk/efo/EFO_0002819	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615535	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2405	http://www.ebi.ac.uk/efo/EFO_0002288	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2405	http://www.ebi.ac.uk/efo/EFO_0002288	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615536	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2444		non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2444		non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
SRR8615537	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2347	http://www.ebi.ac.uk/efo/EFO_0002287	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H2347	http://www.ebi.ac.uk/efo/EFO_0002287	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615538	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H23	http://www.ebi.ac.uk/efo/EFO_0002286	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H23	http://www.ebi.ac.uk/efo/EFO_0002286	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
